"Timestamp","EventID","EventName","Computer","User","SourceIP","TargetUser","Process","Status","Description"
"2025-08-28T11:49:05","4624","An account was successfully logged on","SRV-FILE1","svc_web","10.59.80.164",,,"SUCCESS","Successful logon"
"2025-08-28T11:49:43","4624","An account was successfully logged on","SRV-DC1","bpatel","172.27.185.122",,,"SUCCESS","Successful logon"
"2025-08-28T11:51:16","4625","An account failed to log on","SRV-SIEM1","achapman","172.30.157.213",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-28T11:51:28","4624","An account was successfully logged on","SRV-WEB1","hlee","192.168.6.141",,,"SUCCESS","Successful logon"
"2025-08-28T11:53:56","4625","An account failed to log on","SRV-FILE1","tnguyen","172.17.158.224",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-28T11:55:06","4624","An account was successfully logged on","WIN10LAB","mgarcia","192.168.99.143",,,"SUCCESS","Successful logon"
"2025-08-28T11:55:38","4624","An account was successfully logged on","SRV-WEB1","svc_web","10.99.93.76",,,"SUCCESS","Successful logon"
"2025-08-28T11:57:56","4720","A user account was created","SRV-SIEM1","svc_sql","192.168.152.72","Administrator",,"SUCCESS","New user account created"
"2025-08-28T11:57:57","4624","An account was successfully logged on","WIN10LAB","mgarcia","192.168.169.171",,,"SUCCESS","Successful logon"
"2025-08-28T11:59:22","4720","A user account was created","SRV-DC1","Administrator","10.127.75.55","hlee",,"SUCCESS","New user account created"
"2025-08-28T12:02:34","4625","An account failed to log on","SRV-DC1","kparker","172.29.67.111",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-28T12:05:31","4625","An account failed to log on","SRV-SIEM1","svc_sql","172.22.16.116",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-28T12:07:07","4624","An account was successfully logged on","SRV-DC1","achapman","172.17.115.221",,,"SUCCESS","Successful logon"
"2025-08-28T12:11:08","4625","An account failed to log on","SRV-FILE1","svc_sql","10.2.26.193",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-28T12:11:30","4624","An account was successfully logged on","SRV-REMOTE1","achapman","10.83.253.238",,,"SUCCESS","Successful logon"
"2025-08-28T12:15:03","4625","An account failed to log on","SRV-SQL1","hlee","10.67.251.126",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-28T12:15:27","4624","An account was successfully logged on","SRV-WEB1","hlee","172.19.79.95",,,"SUCCESS","Successful logon"
"2025-08-28T12:15:43","4625","An account failed to log on","SRV-FILE1","Administrator","192.168.95.203",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-28T12:23:02","4624","An account was successfully logged on","SRV-SQL1","jsmith","192.168.131.138",,,"SUCCESS","Successful logon"
"2025-08-28T12:25:33","4688","A new process has been created","SRV-SIEM1","achapman","192.168.14.233",,"outlook.exe","SUCCESS","Process creation observed"
"2025-08-28T12:26:36","4688","A new process has been created","SRV-FILE1","mgarcia","192.168.89.156",,"python.exe","SUCCESS","Process creation observed"
"2025-08-28T12:27:28","4624","An account was successfully logged on","SRV-SQL1","achapman","192.168.212.112",,,"SUCCESS","Successful logon"
"2025-08-28T12:31:23","4625","An account failed to log on","SRV-SQL1","mgarcia","192.168.85.85",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-28T12:33:20","4625","An account failed to log on","SRV-DC1","svc_sql","172.16.201.21",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-28T12:37:04","4688","A new process has been created","SRV-FILE1","bpatel","192.168.113.140",,"rundll32.exe","SUCCESS","Process creation observed"
"2025-08-28T12:37:20","4624","An account was successfully logged on","SRV-SQL1","mgarcia","172.26.175.132",,,"SUCCESS","Successful logon"
"2025-08-28T12:38:30","4625","An account failed to log on","SRV-SIEM1","bpatel","10.121.88.176",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-28T12:38:43","4624","An account was successfully logged on","SRV-SQL1","tnguyen","10.66.89.143",,,"SUCCESS","Successful logon"
"2025-08-28T12:39:01","4624","An account was successfully logged on","SRV-SQL1","jsmith","10.125.152.241",,,"SUCCESS","Successful logon"
"2025-08-28T12:40:37","4624","An account was successfully logged on","SRV-DC1","bpatel","10.74.103.152",,,"SUCCESS","Successful logon"
"2025-08-28T12:41:02","4688","A new process has been created","SRV-DC1","svc_web","192.168.214.36",,"teams.exe","SUCCESS","Process creation observed"
"2025-08-28T12:42:35","4688","A new process has been created","SRV-REMOTE1","svc_sql","192.168.252.86",,"python.exe","SUCCESS","Process creation observed"
"2025-08-28T12:46:12","4688","A new process has been created","SRV-FILE1","tnguyen","172.21.2.64",,"cmd.exe","SUCCESS","Process creation observed"
"2025-08-28T12:47:36","4624","An account was successfully logged on","SRV-WEB1","bpatel","172.25.69.146",,,"SUCCESS","Successful logon"
"2025-08-28T12:48:13","4625","An account failed to log on","WIN10LAB","hlee","172.16.130.37",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-28T12:48:35","4768","A Kerberos authentication ticket (TGT) was requested","SRV-DC1","bpatel","10.175.43.202",,,"SUCCESS","Kerberos TGT requested"
"2025-08-28T12:49:16","4688","A new process has been created","WIN10LAB","bpatel","172.23.252.191",,"teams.exe","SUCCESS","Process creation observed"
"2025-08-28T12:50:21","4625","An account failed to log on","SRV-SIEM1","svc_web","192.168.239.238",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-28T12:50:34","4624","An account was successfully logged on","SRV-SQL1","mgarcia","172.25.249.1",,,"SUCCESS","Successful logon"
"2025-08-28T12:50:46","4625","An account failed to log on","SRV-SQL1","jsmith","172.27.221.106",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-28T12:53:40","4688","A new process has been created","WIN10LAB","svc_web","192.168.23.235",,"rundll32.exe","SUCCESS","Process creation observed"
"2025-08-28T12:54:31","4625","An account failed to log on","SRV-DC1","tnguyen","172.16.57.24",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-28T12:55:18","4768","A Kerberos authentication ticket (TGT) was requested","WIN10LAB","svc_sql","172.24.171.41",,,"SUCCESS","Kerberos TGT requested"
