"Timestamp","EventID","EventName","Computer","User","SourceIP","TargetUser","Process","Status","Description"
"2025-08-29T06:21:32","4625","An account failed to log on","SRV-WEB1","hlee","10.60.0.67",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-29T06:21:38","4624","An account was successfully logged on","SRV-FILE1","hlee","10.168.75.170",,,"SUCCESS","Successful logon"
"2025-08-29T06:21:48","4688","A new process has been created","SRV-WEB1","Administrator","172.20.22.91",,"svchost.exe","SUCCESS","Process creation observed"
"2025-08-29T06:22:07","4624","An account was successfully logged on","WIN10LAB","Administrator","172.31.143.241",,,"SUCCESS","Successful logon"
"2025-08-29T06:22:23","4768","A Kerberos authentication ticket (TGT) was requested","SRV-DC1","tnguyen","172.22.150.172",,,"SUCCESS","Kerberos TGT requested"
"2025-08-29T06:22:39","4624","An account was successfully logged on","SRV-FILE1","achapman","10.112.137.60",,,"SUCCESS","Successful logon"
"2025-08-29T06:22:41","4625","An account failed to log on","SRV-SIEM1","svc_web","192.168.69.36",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-29T06:22:45","4688","A new process has been created","SRV-DC1","Administrator","192.168.17.114",,"outlook.exe","SUCCESS","Process creation observed"
"2025-08-29T06:22:50","4624","An account was successfully logged on","WIN10LAB","Administrator","10.200.170.223",,,"SUCCESS","Successful logon"
"2025-08-29T06:22:53","4624","An account was successfully logged on","SRV-DC1","Administrator","192.168.149.193",,,"SUCCESS","Successful logon"
"2025-08-29T06:23:05","4624","An account was successfully logged on","WIN10LAB","kparker","192.168.32.148",,,"SUCCESS","Successful logon"
"2025-08-29T06:23:21","4624","An account was successfully logged on","SRV-DC1","svc_sql","10.79.74.26",,,"SUCCESS","Successful logon"
"2025-08-29T06:24:50","4625","An account failed to log on","SRV-SQL1","tnguyen","10.254.239.166",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-29T06:24:55","4625","An account failed to log on","SRV-SIEM1","achapman","172.17.8.128",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-29T06:24:57","4624","An account was successfully logged on","SRV-FILE1","svc_web","192.168.193.94",,,"SUCCESS","Successful logon"
"2025-08-29T06:25:01","4625","An account failed to log on","SRV-SIEM1","kparker","10.56.185.124",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-29T06:25:32","4624","An account was successfully logged on","SRV-DC1","mgarcia","192.168.147.162",,,"SUCCESS","Successful logon"
"2025-08-29T06:25:49","4688","A new process has been created","SRV-SQL1","hlee","192.168.190.93",,"powershell.exe","SUCCESS","Process creation observed"
"2025-08-29T06:25:55","4723","An attempt was made to change a password","SRV-SIEM1","mgarcia","172.25.183.176","svc_web",,"SUCCESS","Password change attempt"
"2025-08-29T06:26:00","4688","A new process has been created","SRV-REMOTE1","tnguyen","192.168.80.227",,"node.exe","SUCCESS","Process creation observed"
"2025-08-29T06:26:15","4624","An account was successfully logged on","SRV-DC1","Administrator","10.223.5.20",,,"SUCCESS","Successful logon"
"2025-08-29T06:26:50","4624","An account was successfully logged on","SRV-FILE1","mgarcia","172.22.177.245",,,"SUCCESS","Successful logon"
"2025-08-29T06:26:56","4625","An account failed to log on","WIN10LAB","svc_sql","192.168.240.178",,,"FAILURE","Failed logon (bad password or unknown user)"
"2025-08-29T06:27:02","4624","An account was successfully logged on","SRV-SQL1","mgarcia","10.187.250.253",,,"SUCCESS","Successful logon"
"2025-08-29T06:27:16","4624","An account was successfully logged on","SRV-SQL1","svc_sql","10.217.105.70",,,"SUCCESS","Successful logon"
"2025-08-29T06:27:22","4624","An account was successfully logged on","WIN10LAB","Administrator","172.17.153.5",,,"SUCCESS","Successful logon"
"2025-08-29T06:27:22","4624","An account was successfully logged on","WIN10LAB","bpatel","10.198.96.216",,,"SUCCESS","Successful logon"
"2025-08-29T06:28:35","4688","A new process has been created","SRV-REMOTE1","svc_web","172.18.213.16",,"rundll32.exe","SUCCESS","Process creation observed"
"2025-08-29T06:28:41","4624","An account was successfully logged on","SRV-REMOTE1","svc_sql","10.2.240.187",,,"SUCCESS","Successful logon"
"2025-08-29T06:28:54","4688","A new process has been created","SRV-SIEM1","svc_web","10.221.74.170",,"mshta.exe","SUCCESS","Process creation observed"
"2025-08-29T06:29:11","4688","A new process has been created","SRV-DC1","Administrator","10.218.175.223",,"cmd.exe","SUCCESS","Process creation observed"
"2025-08-29T06:29:15","4624","An account was successfully logged on","SRV-REMOTE1","bpatel","10.68.137.47",,,"SUCCESS","Successful logon"
